case_id,doctor,test
33,Tiru,1
34,Tiru,0
64,Yakup,1
65,Yakup,1
66,Yakup,1
67,Yakup,1
68,Yakup,0
69,Yakup,0
70,Yakup,0
71,Yakup,0
72,Yakup,0
73,Yakup,0
74,Yakup,0
75,Yakup,0
76,Yakup,0
77,Yakup,0
78,Yakup,0
79,Yakup,0
80,Yakup,0
81,Yakup,0
82,Yakup,0
84,Yakup,0
127,Sean,1
128,Sean,1
129,Sean,1
131,Sean,0
132,Sean,0
134,Sean,0
135,Sean,0
136,Sean,0
137,Sean,0
138,Sean,0
139,Sean,0
140,Sean,0
141,Sean,0
143,Sean,0
145,Sean,0
146,Sean,0
147,Sean,0
148,Sean,0
149,Sean,0
192,Sivandan,1
193,Sivandan,1
194,Sivandan,0
195,Sivandan,0
196,Sivandan,0
197,Sivandan,0
198,Sivandan,0
199,Sivandan,0
200,Sivandan,0
201,Sivandan,0
203,Sivandan,0
