Case,ID,size,pixel_num_lung,pixel_num_fibrosis
033,033_fibrosis_020,256,8211,3500
033,033_fibrosis_022,256,9258,3916
033,033_fibrosis_024,256,9987,4120
033,033_fibrosis_026,256,11049,4308
033,033_fibrosis_027,256,11304,4244
033,033_fibrosis_029,256,12243,4716
033,033_fibrosis_031,256,12990,4748
033,033_fibrosis_034,256,14505,5580
033,033_fibrosis_035,256,15096,5620
033,033_fibrosis_037,256,15948,4788
033,033_fibrosis_039,256,16851,6104
033,033_fibrosis_041,256,17931,6624
033,033_fibrosis_042,256,18672,6592
033,033_fibrosis_044,256,19725,5648
033,033_fibrosis_046,256,20775,7704
033,033_fibrosis_048,256,21693,8040
033,033_fibrosis_050,256,22956,8468
033,033_fibrosis_051,256,23406,8444
033,033_fibrosis_053,256,24333,8296
033,033_fibrosis_055,256,25278,8352
033,033_fibrosis_057,256,26241,10040
033,033_fibrosis_059,256,27186,7320
033,033_fibrosis_060,256,27807,7744
033,033_fibrosis_062,256,28665,9944
033,033_fibrosis_064,256,29613,7028
033,033_fibrosis_066,256,30429,7304
033,033_fibrosis_067,256,30960,7472
033,033_fibrosis_069,256,32022,10368
033,033_fibrosis_071,256,33438,10748
033,033_fibrosis_073,256,34938,11268
033,033_fibrosis_075,256,35688,12204
033,033_fibrosis_076,256,35958,11068
033,033_fibrosis_078,256,37203,8112
033,033_fibrosis_079,256,37743,12732
033,033_fibrosis_081,256,38766,5216
033,033_fibrosis_083,256,40164,7540
033,033_fibrosis_085,256,41262,9904
033,033_fibrosis_086,256,41754,13576
033,033_fibrosis_088,256,43305,15344
033,033_fibrosis_090,256,44562,10804
033,033_fibrosis_092,256,46020,14392
033,033_fibrosis_094,256,47829,15484
033,033_fibrosis_095,256,48435,15588
033,033_fibrosis_097,256,50220,16848
033,033_fibrosis_099,256,52257,16608
033,033_fibrosis_101,256,53358,14608
033,033_fibrosis_103,256,55194,18784
033,033_fibrosis_104,256,55920,13744
033,033_fibrosis_106,256,57096,20084
033,033_fibrosis_108,256,59244,20900
033,033_fibrosis_110,256,60591,21324
033,033_fibrosis_112,256,62295,22004
033,033_fibrosis_113,256,62487,22068
033,033_fibrosis_115,256,65187,22268
033,033_fibrosis_117,256,66819,22060
033,033_fibrosis_119,256,70179,20880
033,033_fibrosis_121,256,73905,24424
033,033_fibrosis_122,256,75903,24332
033,033_fibrosis_124,256,78369,20160
033,033_fibrosis_125,256,79929,18716
033,033_fibrosis_127,256,83415,15792
033,033_fibrosis_129,256,86979,19184
033,033_fibrosis_131,256,89964,16096
033,033_fibrosis_133,256,90174,19780
033,033_fibrosis_134,256,90132,21712
033,033_fibrosis_136,256,90291,30896
033,033_fibrosis_138,256,90951,27076
033,033_fibrosis_140,256,92022,27640
033,033_fibrosis_142,256,92922,27840
033,033_fibrosis_143,256,93051,27596
033,033_fibrosis_144,256,93105,27372
033,033_fibrosis_145,256,93048,24812
033,033_fibrosis_147,256,95091,21872
033,033_fibrosis_149,256,97302,19220
033,033_fibrosis_151,256,100221,28676
033,033_fibrosis_152,256,101400,16968
033,033_fibrosis_154,256,101490,17440
033,033_fibrosis_156,256,101553,27284
033,033_fibrosis_158,256,101559,24776
033,033_fibrosis_160,256,101352,22980
033,033_fibrosis_161,256,101121,23520
033,033_fibrosis_163,256,101544,21884
033,033_fibrosis_165,256,101709,22336
033,033_fibrosis_167,256,101952,24108
033,033_fibrosis_168,256,102186,24168
033,033_fibrosis_170,256,102456,21548
033,033_fibrosis_171,256,102396,0
033,033_fibrosis_172,256,102243,22360
033,033_fibrosis_174,256,102078,21728
033,033_fibrosis_175,256,102069,20108
033,033_fibrosis_177,256,102486,19576
033,033_fibrosis_179,256,101889,19348
033,033_fibrosis_180,256,101853,21288
033,033_fibrosis_182,256,101232,21528
033,033_fibrosis_184,256,101025,23040
033,033_fibrosis_185,256,101052,0
033,033_fibrosis_186,256,100443,23048
033,033_fibrosis_188,256,99939,20312
033,033_fibrosis_190,256,99918,20496
033,033_fibrosis_192,256,99333,21248
033,033_fibrosis_193,256,99231,19352
033,033_fibrosis_195,256,99042,21124
033,033_fibrosis_197,256,98589,18944
033,033_fibrosis_199,256,98226,19772
033,033_fibrosis_200,256,98007,24332
033,033_fibrosis_202,256,97857,20452
033,033_fibrosis_204,256,97311,24148
033,033_fibrosis_206,256,97107,19244
033,033_fibrosis_207,256,96864,18224
033,033_fibrosis_209,256,96543,19208
033,033_fibrosis_211,256,96030,19636
033,033_fibrosis_212,256,95448,22184
033,033_fibrosis_213,256,95175,21432
033,033_fibrosis_214,256,95124,0
033,033_fibrosis_215,256,94806,6328
033,033_fibrosis_216,256,94542,20184
033,033_fibrosis_218,256,93612,18632
033,033_fibrosis_220,256,93147,18600
033,033_fibrosis_221,256,92901,24
033,033_fibrosis_222,256,92358,16352
033,033_fibrosis_223,256,91956,6712
033,033_fibrosis_224,256,91455,0
033,033_fibrosis_225,256,91761,13648
033,033_fibrosis_226,256,91926,10032
033,033_fibrosis_227,256,92175,9132
033,033_fibrosis_228,256,91995,7772
033,033_fibrosis_229,256,91614,10460
033,033_fibrosis_230,256,91740,11404
033,033_fibrosis_231,256,91809,11288
033,033_fibrosis_232,256,91971,2068
033,033_fibrosis_233,256,91836,15224
033,033_fibrosis_235,256,91047,14704
033,033_fibrosis_236,256,90558,8680
033,033_fibrosis_237,256,90234,13372
033,033_fibrosis_238,256,89952,14720
033,033_fibrosis_239,256,89826,13208
033,033_fibrosis_240,256,89286,13388
033,033_fibrosis_241,256,89271,17080
033,033_fibrosis_242,256,89097,18312
033,033_fibrosis_243,256,88962,14276
033,033_fibrosis_245,256,88083,12320
033,033_fibrosis_247,256,87429,13072
033,033_fibrosis_248,256,87345,17016
033,033_fibrosis_249,256,87078,10784
033,033_fibrosis_250,256,86415,12560
033,033_fibrosis_252,256,85935,19228
033,033_fibrosis_254,256,85458,20732
033,033_fibrosis_255,256,85293,17300
033,033_fibrosis_256,256,85032,9712
033,033_fibrosis_257,256,84432,11148
033,033_fibrosis_258,256,84072,15636
033,033_fibrosis_259,256,83673,17768
033,033_fibrosis_260,256,82989,17564
033,033_fibrosis_261,256,82404,16384
033,033_fibrosis_262,256,81924,14432
033,033_fibrosis_263,256,81510,16060
033,033_fibrosis_265,256,81102,16868
033,033_fibrosis_267,256,79839,16848
033,033_fibrosis_268,256,79311,16688
033,033_fibrosis_269,256,78963,14624
033,033_fibrosis_270,256,78261,9400
033,033_fibrosis_271,256,77190,14488
033,033_fibrosis_272,256,76497,14964
033,033_fibrosis_274,256,75258,13768
033,033_fibrosis_275,256,74637,14420
033,033_fibrosis_276,256,74094,14796
033,033_fibrosis_277,256,73383,13996
033,033_fibrosis_278,256,72849,14956
033,033_fibrosis_279,256,72159,13348
033,033_fibrosis_280,256,71739,0
033,033_fibrosis_281,256,71289,13496
033,033_fibrosis_282,256,70530,12940
033,033_fibrosis_284,256,69507,12736
033,033_fibrosis_286,256,68268,14520
033,033_fibrosis_287,256,67488,13216
033,033_fibrosis_289,256,66324,14012
033,033_fibrosis_291,256,64794,4332
