Case,ID,size,pixel_num_lung,pixel_num_fibrosis
1_0000,1_0000_000,256,0,0
1_0000,1_0000_001,256,0,0
1_0000,1_0000_002,256,0,0
1_0000,1_0000_003,256,0,0
1_0000,1_0000_004,256,0,0
1_0000,1_0000_005,256,0,0
1_0000,1_0000_006,256,0,0
1_0000,1_0000_007,256,0,0
1_0000,1_0000_008,256,0,0
1_0000,1_0000_009,256,0,0
1_0000,1_0000_010,256,0,0
1_0000,1_0000_011,256,0,0
1_0000,1_0000_012,256,0,0
1_0000,1_0000_013,256,0,0
1_0000,1_0000_014,256,0,0
1_0000,1_0000_015,256,0,0
1_0000,1_0000_016,256,0,0
1_0000,1_0000_017,256,0,0
1_0000,1_0000_018,256,0,0
1_0000,1_0000_019,256,0,0
1_0000,1_0000_020,256,0,0
1_0000,1_0000_021,256,0,0
1_0000,1_0000_022,256,0,0
1_0000,1_0000_023,256,0,0
1_0000,1_0000_024,256,0,0
1_0000,1_0000_025,256,0,0
1_0000,1_0000_026,256,0,0
1_0000,1_0000_027,256,0,0
1_0000,1_0000_028,256,0,0
1_0000,1_0000_029,256,0,0
1_0000,1_0000_030,256,0,0
1_0000,1_0000_031,256,0,0
1_0000,1_0000_032,256,0,0
1_0000,1_0000_033,256,0,0
1_0000,1_0000_034,256,0,0
1_0000,1_0000_035,256,0,0
1_0000,1_0000_036,256,0,0
1_0000,1_0000_037,256,0,0
1_0000,1_0000_038,256,0,0
1_0000,1_0000_039,256,0,0
1_0000,1_0000_040,256,0,0
1_0000,1_0000_041,256,0,0
1_0000,1_0000_042,256,0,0
1_0000,1_0000_043,256,0,0
1_0000,1_0000_044,256,18,44
1_0000,1_0000_045,256,99,312
1_0000,1_0000_046,256,147,308
1_0000,1_0000_047,256,162,312
1_0000,1_0000_048,256,198,332
1_0000,1_0000_049,256,249,348
1_0000,1_0000_050,256,282,356
1_0000,1_0000_051,256,339,440
1_0000,1_0000_052,256,381,440
1_0000,1_0000_053,256,456,460
1_0000,1_0000_054,256,522,604
1_0000,1_0000_055,256,627,468
1_0000,1_0000_056,256,780,496
1_0000,1_0000_057,256,936,456
1_0000,1_0000_058,256,1032,480
1_0000,1_0000_059,256,1245,588
1_0000,1_0000_060,256,1503,404
1_0000,1_0000_061,256,1803,728
1_0000,1_0000_062,256,2055,1024
1_0000,1_0000_063,256,2364,1072
1_0000,1_0000_064,256,2652,1372
1_0000,1_0000_065,256,3039,1384
1_0000,1_0000_066,256,3327,1652
1_0000,1_0000_067,256,3615,1728
1_0000,1_0000_068,256,3861,1540
1_0000,1_0000_069,256,4185,1544
1_0000,1_0000_070,256,4536,1768
1_0000,1_0000_071,256,4860,1960
1_0000,1_0000_072,256,5253,2264
1_0000,1_0000_073,256,5694,2284
1_0000,1_0000_074,256,6177,2060
1_0000,1_0000_075,256,6642,1856
1_0000,1_0000_076,256,7140,2352
1_0000,1_0000_077,256,7659,2588
1_0000,1_0000_078,256,8229,2528
1_0000,1_0000_079,256,8817,2616
1_0000,1_0000_080,256,9447,2712
1_0000,1_0000_081,256,10050,2696
1_0000,1_0000_082,256,10605,2760
1_0000,1_0000_083,256,11538,2692
1_0000,1_0000_084,256,12357,2940
1_0000,1_0000_085,256,12903,2812
1_0000,1_0000_086,256,13542,3012
1_0000,1_0000_087,256,14295,3116
