Case,ID,size,pixel_num_lung,pixel_num_fibrosis
1_0000,1_0000_044,256,33,76
1_0000,1_0000_045,256,144,256
1_0000,1_0000_046,256,213,268
1_0000,1_0000_047,256,234,264
1_0000,1_0000_048,256,288,356
1_0000,1_0000_049,256,384,244
1_0000,1_0000_050,256,456,116
1_0000,1_0000_051,256,558,508
1_0000,1_0000_052,256,648,612
1_0000,1_0000_053,256,765,516
1_0000,1_0000_054,256,888,624
1_0000,1_0000_055,256,1083,576
1_0000,1_0000_056,256,1329,492
1_0000,1_0000_057,256,1599,144
1_0000,1_0000_058,256,1758,284
1_0000,1_0000_059,256,2133,352
1_0000,1_0000_060,256,2553,404
1_0000,1_0000_061,256,3024,1048
1_0000,1_0000_062,256,3450,1260
1_0000,1_0000_063,256,3969,1036
1_0000,1_0000_064,256,4437,1100
1_0000,1_0000_065,256,5115,1676
1_0000,1_0000_066,256,5580,1588
1_0000,1_0000_067,256,6126,1652
1_0000,1_0000_068,256,6588,1892
1_0000,1_0000_069,256,7170,1936
1_0000,1_0000_070,256,7737,2368
1_0000,1_0000_071,256,8250,2452
1_0000,1_0000_072,256,8964,2804
1_0000,1_0000_073,256,9711,2984
1_0000,1_0000_074,256,10491,2928
1_0000,1_0000_075,256,11346,3028
1_0000,1_0000_076,256,12225,3524
1_0000,1_0000_077,256,13107,3672
1_0000,1_0000_078,256,14070,4032
1_0000,1_0000_079,256,15105,4548
1_0000,1_0000_080,256,16170,4508
1_0000,1_0000_081,256,17163,4280
1_0000,1_0000_082,256,18120,3424
1_0000,1_0000_083,256,19689,4640
1_0000,1_0000_084,256,21051,5172
1_0000,1_0000_085,256,21936,5244
1_0000,1_0000_086,256,23001,5664
1_0000,1_0000_087,256,24309,6020
1_0000,1_0000_088,256,25383,5940
1_0000,1_0000_089,256,26556,5860
1_0000,1_0000_090,256,27672,6208
1_0000,1_0000_091,256,28779,6548
1_0000,1_0000_092,256,29880,6436
1_0000,1_0000_093,256,31143,7204
1_0000,1_0000_094,256,32520,7360
1_0000,1_0000_095,256,33678,7528
1_0000,1_0000_096,256,34854,7952
1_0000,1_0000_097,256,36096,8832
1_0000,1_0000_098,256,37443,8844
1_0000,1_0000_099,256,38823,8728
1_0000,1_0000_100,256,40149,8692
1_0000,1_0000_101,256,41622,8548
1_0000,1_0000_102,256,42909,7656
1_0000,1_0000_103,256,44211,7888
1_0000,1_0000_104,256,46197,8608
1_0000,1_0000_105,256,47448,8272
1_0000,1_0000_106,256,48819,7996
1_0000,1_0000_107,256,50670,8420
1_0000,1_0000_108,256,52227,8884
1_0000,1_0000_109,256,53715,9444
1_0000,1_0000_110,256,54999,10972
1_0000,1_0000_111,256,56016,10860
1_0000,1_0000_112,256,57105,9960
1_0000,1_0000_113,256,58026,8432
1_0000,1_0000_114,256,58650,7832
1_0000,1_0000_115,256,59139,8404
1_0000,1_0000_116,256,59391,7696
1_0000,1_0000_117,256,59385,6792
1_0000,1_0000_118,256,59382,6532
1_0000,1_0000_119,256,59775,6636
1_0000,1_0000_120,256,59973,6316
1_0000,1_0000_121,256,60252,5608
1_0000,1_0000_122,256,60555,4556
1_0000,1_0000_123,256,60972,5164
1_0000,1_0000_124,256,61395,4768
1_0000,1_0000_125,256,61659,4244
1_0000,1_0000_126,256,61935,5100
1_0000,1_0000_127,256,62292,5404
1_0000,1_0000_128,256,62688,4440
1_0000,1_0000_129,256,63264,4016
1_0000,1_0000_130,256,63810,3604
1_0000,1_0000_131,256,64200,3056
1_0000,1_0000_132,256,64668,2896
