Image_ID,MedSAM Dice 50 manual,MedSAM Orig Dice Scores,Diffusion + Unet,Diffusion + Unet_noscale,"max(sclae,noS)",mask_area
0,0.225876242,0.29387325,0.625031233,0.705918193,0.705918193,9257
1,0.510287106,0.19595927,0.66563946,0.653434515,0.66563946,2591
2,0.304165244,0.279931217,0.48293516,0.504448473,0.504448473,6907
3,0.547047794,0.409807235,0.594360113,0.706900001,0.706900001,6404
4,0.347226083,0.11465501,0.08343266,0.140897289,0.140897289,2404
5,0.480148762,0.15652281,0.416766465,0.382771224,0.416766465,1556
6,0.411224127,0.287699044,0.57359308,0.616527617,0.616527617,5307
7,0.376255304,0.179618821,0.453504354,0.484696448,0.484696448,2768
8,0.28484109,0.131916225,0.424140811,0.378915191,0.424140811,1780
9,0.231558144,0.401214391,0.704256475,0.648062944,0.704256475,3378
10,0.521763682,0.306831568,0.50190115,0.461904764,0.50190115,1467
11,0.274119079,0.143599391,0.527084112,0.595681608,0.595681608,4729
12,0.243076921,0.118199393,0.408006161,0.44638297,0.44638297,2550
13,0.704936862,0.68179673,0.62003231,0.670473933,0.670473933,15573
14,0.458993673,0.246885732,0.532079279,0.493967474,0.532079279,8118
15,0.350125939,0.148302183,0.544130266,0.651435018,0.651435018,4269
16,0.222448289,0.336756676,0.684474885,0.688174546,0.688174546,10358
17,0.191978961,0.175265342,0.45388788,0.369747907,0.45388788,3801
18,0.270467222,0.178393558,0.590066254,0.567921996,0.590066254,5157
19,0.392241389,0.434851736,0.512820542,0.474718422,0.512820542,4740
20,0.543433487,0.162586451,0.579820335,0.617504478,0.617504478,5873
21,0.323900968,0.113857917,0.578364134,0.493431598,0.578364134,3788
22,0.536566734,0.189282358,0.587920249,0.562921107,0.587920249,5092
23,0.386229306,0.19816798,0.717512608,0.741904974,0.741904974,7667
24,0.361671478,0.663657248,0.776746035,0.794791639,0.794791639,4902
25,0.371888548,0.539752841,0.641944766,0.818838477,0.818838477,18165
26,0.38260752,0.181930348,0.401028275,0.402488321,0.402488321,3991
27,0.57400614,0.05227695,0.282660335,0.248347491,0.282660335,1226
28,0.667127788,0.259496599,0.278676987,0.189275414,0.278676987,3953
29,0.549758196,0.441751748,0.816326559,0.816638172,0.816638172,12758
30,0.485762149,0.20539239,0.535002291,0.561762393,0.561762393,3988
31,0.252826512,0.130712211,0.400357455,0.408858597,0.408858597,2595
32,0.179230154,0.280567348,0.632356822,0.739088476,0.739088476,8931
33,0.30439952,0.296536088,0.337917477,0.336198658,0.337917477,1178
34,0.62559998,0.350696981,0.24363637,0.238615289,0.24363637,855
35,0.478424788,0.184330031,0.660944223,0.628760993,0.660944223,5600
36,0.48206529,0.394796848,0.731945038,0.596719682,0.731945038,5128
37,0.308114797,0.052334115,0.495677233,0.077434964,0.495677233,1575
38,0.294891536,0.096421376,0.56774807,0.449969083,0.56774807,3586
39,0.732473671,0.152002245,0.437776685,0.431256592,0.437776685,4530
40,0.544930756,0.095773928,0.615999997,0.459254146,0.615999997,2676
41,0.461613029,0.350917429,0.562633812,0.651773632,0.651773632,9459
42,0.357530922,0.249063134,0.614234626,0.647313058,0.647313058,6730
43,0.588100731,0.14632231,0.522666693,0.558402359,0.558402359,4963
44,0.724364817,0.352378488,0.761531353,0.700935721,0.761531353,9718
45,0.492505342,0.269347429,0.685540974,0.559631467,0.685540974,3200
46,0.59366262,0.081992358,0.489777774,0.517480731,0.517480731,2592
47,0.47685647,0.37207818,0.750781238,0.6720137,0.750781238,11282
48,0.510376811,0.177308604,0.347917765,0.253977507,0.347917765,2377
49,0.302135557,0.488943487,0.616621971,0.569672108,0.616621971,540
50,,0.150659442,0.444534421,0.335672796,0.444534421,3305
51,,0.451732755,0.730061352,0.77397114,0.77397114,4332
52,,0.087527484,0.338697314,0.50203371,0.50203371,2670
53,,0.09440802,0.381647557,0.308492213,0.381647557,1201
54,,0.441638529,0.819007695,0.796954334,0.819007695,13285
55,,0.604265273,0.730099082,0.682853878,0.730099082,12847
56,,0.192151487,0.420459867,0.49542734,0.49542734,4469
57,,0.088810161,0.466410756,0.338533551,0.466410756,2578
58,,0.615153611,0.613312185,0.637487948,0.637487948,22578
59,,0.32104966,0.738545537,0.690369785,0.738545537,12541
60,,0.061564293,0.339779019,0,0.339779019,1580
61,,0.370448798,0.676182687,0.680460513,0.680460513,11874
62,,0.130305186,0.496357441,0.60189575,0.60189575,3301
63,,0.117360912,0.537206531,0.514580846,0.537206531,3667
64,,0.456708461,0.382237226,0.386064023,0.386064023,3054
65,,0.574215055,0.661458313,0.682782829,0.682782829,18729
66,,0.047247853,0.400000006,0.340226084,0.400000006,1970
67,,0.229537264,0.547008574,0.531246126,0.547008574,5817
68,,0.095622577,0.352941185,0.363975167,0.363975167,1731
69,,0.317731351,0.742102981,0.565087438,0.742102981,10206
70,,0.437802553,0.468812883,0.494133532,0.494133532,7950
71,,0.412360936,0.34515366,0.385107189,0.385107189,1160
72,,0.291380465,0.438313365,0.458566964,0.458566964,6000
73,,0.323726714,0.804243028,0.749428809,0.804243028,6793
74,,0.10236948,0.367560506,0.369519442,0.369519442,3307
75,,0.229395807,0.703621149,0.620595217,0.703621149,7691
76,,0.161642924,0.346666664,0.335257441,0.346666664,1643
77,,0.173404083,0.523626208,0.634496629,0.634496629,6188
78,,0.129103869,0.68839103,0.720786572,0.720786572,3819
79,,0.30584228,0.578503072,0.642392218,0.642392218,8854
80,,0.198437721,0.264082372,0.242561638,0.264082372,3151
81,,0.243805751,0.590401769,0.529234767,0.590401769,2821
82,,0.452130198,0.4214724,0.575865865,0.575865865,10214
83,,0.136623502,0.583132505,0.540548205,0.583132505,3854
84,,0.584158897,0.597479641,0.65284878,0.65284878,13251
85,,0.264027804,0.019131714,0.329347193,0.329347193,2799
86,,0.165420711,0.380422682,0.353788674,0.380422682,821
87,,0.139147714,0.652291119,0.622347951,0.652291119,1376
88,,0.094488636,0.600527704,0.595307946,0.600527704,2958
89,,0.133691803,0.554710329,0.592818737,0.592818737,3194
90,,0.744186044,0.249609977,0.297761589,0.297761589,369
91,,0.314333498,0.417445481,0.367996991,0.417445481,1521
92,,0.217948303,0.65934068,0.64341259,0.65934068,4080
93,,0.13112013,0.531003356,0.55386579,0.55386579,4472
94,,0.207757711,0.394413412,0.461283326,0.461283326,4847
95,,0.260586143,0.634000599,0.605825782,0.634000599,6087
96,,0.215905711,0.679692507,0.85096544,0.85096544,7931
97,,0.157346264,0.604610682,0.614100397,0.614100397,3735
98,,0.712341189,0.271119833,0.612383366,0.612383366,991
99,,0.342622906,0.639438927,0.663119495,0.663119495,6245
100,,0.050226681,0.255639106,0.270062655,0.270062655,1654
101,,0.480528265,0.528735638,0.366001338,0.528735638,1931
102,,0.17242755,0.689928055,0.672871888,0.689928055,5861
103,,0.032775372,0,0,0,746
104,,0.25363335,0.54995054,0.486646891,0.54995054,2261
105,,0.266534567,0.735361934,0.750904918,0.750904918,9753
106,,0.269251436,0.712857127,0.686599791,0.712857127,3601
107,,0.221028492,0.418644071,0.58084774,0.58084774,2398
108,,0.415325582,0.574430823,0.793167233,0.793167233,4651
109,,0.037143905,0.571839094,0.514018714,0.571839094,1215
110,,0.134439215,0.572242022,0.591802955,0.591802955,4466
111,,0.129876509,0.258064508,0.132182777,0.258064508,1657
112,,0.144937679,0.478861094,0.538091302,0.538091302,3206
113,,0.231393695,0.65882355,0.670555711,0.670555711,2762
114,,0.172718525,0.670569897,0.556116402,0.670569897,5181
115,,0.198251262,0.548490703,0.360872179,0.548490703,4017
116,,0.175807416,0.579839408,0.480783731,0.579839408,2115
117,,0.443542928,0.776119411,0.774117112,0.776119411,4632
118,,0.425806463,0,0,0,151
119,,0.226796195,0.445711315,0.467927575,0.467927575,8320
120,,0.157251358,0.469827592,0.352585614,0.469827592,2292
121,,0.320140302,0.660412729,0.632051289,0.660412729,3808
122,,0.164610133,0.66038847,0.626281857,0.66038847,5802
123,,0.10360907,0.364550591,0.295001864,0.364550591,2754
124,,0.130014658,0.655793965,0.675334215,0.675334215,4377
125,,0.287089199,0.593426406,0.63441211,0.63441211,6266
126,,0.149521291,0.699718297,0.633888066,0.699718297,3557
127,,0.435623646,0.452972978,0.457337886,0.457337886,3320
128,,0.043192092,0.32024169,0.348901093,0.348901093,1149
129,,0.455001384,0.91539824,0.909009755,0.91539824,5975
130,,0.213097051,0.612592816,0.54448539,0.612592816,7830
131,,0.080762453,0.817253113,0.751117706,0.817253113,1958
132,,0.185355157,0.622862875,0.555930912,0.622862875,6284
133,,0.589261115,0.47863248,0.58206898,0.58206898,804
134,,0.391693115,0.669781923,0.663507104,0.669781923,1405
135,,0.335046321,0.764459014,0.774326384,0.774326384,12702
136,,0.099766001,0.513992548,0.531872928,0.531872928,3528
137,,0.323544085,0.706538022,0.725332379,0.725332379,9978
138,,0.456701845,0.389595717,0.593203783,0.593203783,10881
139,,0.264904648,0.726457417,0.694933832,0.726457417,10005
140,,0.150241196,0.699529052,0.506936789,0.699529052,6188
141,,0.219653919,0.635886669,0.629839122,0.635886669,4594
142,,0.572252929,0.472126633,0.404818505,0.472126633,1562
143,,0.142997593,0.391066551,0.333187491,0.391066551,2188
144,,0.17095691,0.448658317,0.419104695,0.448658317,3035
145,,0.038057219,0.409534127,0.439927191,0.439927191,1003
146,,0.226962373,0.588756382,0.667286098,0.667286098,8050
147,,0.454382569,0.796854496,0.853343725,0.853343725,6733
148,,0.364083022,0.612206578,0.633251846,0.633251846,1999
149,,0.35383442,0.441138744,0.482088655,0.482088655,7427
150,,0.470744878,0.495539337,0.55656743,0.55656743,4120
151,,0.354871809,0.450360507,0.557353139,0.557353139,2656
152,,0.342476517,0.60382992,0.642533422,0.642533422,10181
153,,0.228171781,0.59420687,0.620750129,0.620750129,7166
154,,0.397923082,0.848712444,0.836817801,0.848712444,8299
155,,0.433297008,0.624795556,0.564497411,0.624795556,5868
156,,0.144494832,0.487516433,0.560271621,0.560271621,3990
157,,0.182860658,0.163989857,0.208690137,0.208690137,2077
158,,0.601277769,0.771535575,0.756038964,0.771535575,3734
159,,0.089617416,0.43418014,0.360013396,0.43418014,2879
160,,0.242968634,0.587358356,0.622820318,0.622820318,9095
161,,0.572949946,0,0,0,418
162,,0.512733459,0,0,0,248
163,,0.069766037,0.625775337,0.640840948,0.640840948,2258
164,,0.396843284,0.492811114,0.463499725,0.492811114,4281
165,,0.340868741,0.516859353,0.495999992,0.516859353,11385
166,,0.195222214,0.61758244,0.576946795,0.61758244,7281
167,,0.202523753,0.570877552,0.484637678,0.570877552,1482
168,,0.453101724,0.519973516,0.487836808,0.519973516,6787
169,,0.109502561,0.616699517,0.610142946,0.616699517,2983
170,,0.189491317,0.511073232,0.56436044,0.56436044,5692
171,,0.310420424,0.671679199,0.61008215,0.671679199,2996
172,,0.733676314,0.224806204,0.429596424,0.429596424,1061
173,,0.684979558,0.422077924,0.069501601,0.422077924,1405
174,,0.185937896,0.767246187,0.75339365,0.767246187,3530
175,,0.588980377,0.27604872,0.277873069,0.277873069,537
176,,0.515544772,0.328157336,0.344543397,0.344543397,10024
177,,0.662420392,0.512943447,0.588512123,0.588512123,2499
178,,0.409424752,0.616690218,0.527891636,0.616690218,11123
179,,0.357411504,0.834061146,0.852488041,0.852488041,2997
180,,0.149582401,0.598484874,0.596556246,0.598484874,4722
181,,0.436106086,0.81248951,0.657895982,0.81248951,13873
182,,0.658529997,0.589285731,0.329617828,0.589285731,1308
183,,0.188045308,0.759704828,0.683333337,0.759704828,5776
184,,0.342700154,0.606141508,0.59033972,0.606141508,11642
185,,0.058213241,0.396387368,0.434833944,0.434833944,2007
