Image_ID,orig_covid_ms1.50 - fib score,orig_covid_ms1.50 - fib score manip,manip - fib
0,0.005037923,0.582942665,0.577904742
1,0.181031048,0.972968996,0.791937947
2,0.003888918,0.026735518,0.0228466
3,0.050081115,0.97959578,0.929514665
4,0.026984651,0.63855356,0.611568909
5,0.011539555,0.846189141,0.834649586
6,0.042944834,0.958118021,0.915173188
7,0.009554912,0.929728985,0.920174072
8,0.002215625,0.694906175,0.69269055
9,0.017725436,0.11368636,0.095960924
10,0.191330969,0.954421043,0.763090074
11,0.020909395,0.911333382,0.890423987
12,0.000837394,0.366506845,0.365669451
13,0.001159275,0.718730748,0.717571473
14,0.008371162,0.87526232,0.866891158
15,0.003586166,0.426464796,0.42287863
16,0.002342312,0.874543488,0.872201176
17,0.03778857,0.86904794,0.83125937
18,0.320936024,0.993851423,0.672915399
19,0.089058414,0.98378849,0.894730076
20,0.009600534,0.974146366,0.964545832
21,0.003547081,0.806405783,0.802858701
22,0.030715793,0.925326049,0.894610256
23,0.056912892,0.897436082,0.840523191
24,0.012449906,0.347523898,0.335073992
25,0.009201741,0.859398544,0.850196803
26,0.000763571,0.280242413,0.279478842
27,0.000712304,0.145367563,0.144655258
28,0.026371278,0.916411102,0.890039824
29,0.000901048,0.238577396,0.237676348
30,0.000576347,0.206786051,0.206209704
31,0.084238663,0.97986573,0.895627066
32,0.011994155,0.907296419,0.895302264
33,0.067934066,0.939619362,0.871685296
34,0.00621226,0.839682102,0.833469842
35,0.001608087,0.339017659,0.337409573
36,0.03747566,0.972979188,0.935503528
37,0.186258227,0.839917243,0.653659016
38,0.030021088,0.835868537,0.805847449
39,0.003008013,0.102191493,0.09918348
40,0.005703008,0.660803914,0.655100906
41,0.000739457,0.558862209,0.558122752
42,0.002664105,0.168940037,0.166275933
43,0.109059401,0.978134453,0.869075052
44,0.021449668,0.874855161,0.853405492
45,0.00096469,0.396654636,0.395689946
46,0.002293544,0.674489915,0.672196371
47,0.00581467,0.944257498,0.938442828
48,0.121663086,0.977161169,0.855498083
49,0.012951292,0.913223505,0.900272213
50,0.002243142,0.46133545,0.459092308
51,0.019399092,0.777205646,0.757806554
52,0.006818928,0.685888767,0.679069839
53,0.004498141,0.095136791,0.090638651
54,0.01745788,0.854295015,0.836837135
55,0.001000539,0.052370232,0.051369693
56,0.030923348,0.978305101,0.947381753
57,0.046327177,0.925062358,0.878735181
58,0.014478847,0.90770793,0.893229082
59,0.065054737,0.92991358,0.864858843
60,0.009974799,0.900493264,0.890518465
61,0.019117912,0.969200313,0.950082401
62,0.010517611,0.838429749,0.827912138
63,0.000507317,0.000628444,0.000121127
64,0.008675797,0.915821314,0.907145517
65,0.001685657,0.579580367,0.577894709
66,0.013926843,0.297330052,0.283403208
67,0.000745573,0.162111744,0.161366171
68,0.001797897,0.262445211,0.260647315
69,0.007241462,0.666609764,0.659368302
70,0.08067964,0.850773752,0.770094112
71,0.016988287,0.941115737,0.92412745
72,0.000661663,0.293809205,0.293147542
73,0.013634206,0.829426408,0.815792202
74,0.003610295,0.526270092,0.522659796
75,0.021630252,0.966423392,0.944793141
76,0.022983558,0.871903241,0.848919682
77,0.006436273,0.072273657,0.065837384
78,0.002300692,0.275716335,0.273415642
79,0.013992952,0.6821661,0.668173147
80,0.010924753,0.671031713,0.660106961
81,0.00074016,0.369894296,0.369154136
82,0.0015018,0.259438932,0.257937132
83,0.002106597,0.760396242,0.758289645
84,0.00380147,0.792648971,0.788847501
85,0.008012304,0.786870241,0.778857937
86,0.024017803,0.951392472,0.927374668
