Case,ID,size,pixel_num_lung,pixel_num_fibrosis
033,033_fibrosis_020,256,8211,2344
033,033_fibrosis_022,256,9258,2752
033,033_fibrosis_024,256,9987,2960
033,033_fibrosis_026,256,11049,3364
033,033_fibrosis_027,256,11304,3484
033,033_fibrosis_029,256,12243,3868
033,033_fibrosis_031,256,12990,3936
033,033_fibrosis_034,256,14505,4156
033,033_fibrosis_035,256,15096,4176
033,033_fibrosis_037,256,15948,4956
033,033_fibrosis_039,256,16851,5100
033,033_fibrosis_041,256,17931,5284
033,033_fibrosis_042,256,18672,5236
033,033_fibrosis_044,256,19725,4556
033,033_fibrosis_046,256,20775,5740
033,033_fibrosis_048,256,21693,4952
033,033_fibrosis_050,256,22956,5248
033,033_fibrosis_051,256,23406,5072
033,033_fibrosis_053,256,24333,5488
033,033_fibrosis_055,256,25278,4932
033,033_fibrosis_057,256,26241,5808
033,033_fibrosis_059,256,27186,7332
033,033_fibrosis_060,256,27807,6628
033,033_fibrosis_062,256,28665,6188
033,033_fibrosis_064,256,29613,6252
033,033_fibrosis_066,256,30429,7052
033,033_fibrosis_067,256,30960,7012
033,033_fibrosis_069,256,32022,6760
033,033_fibrosis_071,256,33438,7104
033,033_fibrosis_073,256,34938,6876
033,033_fibrosis_075,256,35688,6648
033,033_fibrosis_076,256,35958,6568
033,033_fibrosis_078,256,37203,6848
033,033_fibrosis_079,256,37743,7024
033,033_fibrosis_081,256,38766,7428
033,033_fibrosis_083,256,40164,9660
033,033_fibrosis_085,256,41262,9144
033,033_fibrosis_086,256,41754,9420
033,033_fibrosis_088,256,43305,10152
033,033_fibrosis_090,256,44562,10092
033,033_fibrosis_092,256,46020,10092
033,033_fibrosis_094,256,47829,10344
033,033_fibrosis_095,256,48435,9940
033,033_fibrosis_097,256,50220,9756
033,033_fibrosis_099,256,52257,9876
033,033_fibrosis_101,256,53358,10868
033,033_fibrosis_103,256,55194,11932
033,033_fibrosis_104,256,55920,12004
033,033_fibrosis_106,256,57096,12544
033,033_fibrosis_108,256,59244,13024
033,033_fibrosis_110,256,60591,13224
033,033_fibrosis_112,256,62295,13688
033,033_fibrosis_113,256,62487,13572
033,033_fibrosis_115,256,65187,13356
033,033_fibrosis_117,256,66819,13824
033,033_fibrosis_119,256,70179,12600
033,033_fibrosis_121,256,73905,12180
033,033_fibrosis_122,256,75903,13220
033,033_fibrosis_124,256,78369,14064
033,033_fibrosis_125,256,79929,13200
033,033_fibrosis_127,256,83415,13040
033,033_fibrosis_129,256,86979,12808
033,033_fibrosis_131,256,89964,12992
033,033_fibrosis_133,256,90174,12312
033,033_fibrosis_134,256,90132,12288
033,033_fibrosis_136,256,90291,12240
033,033_fibrosis_138,256,90951,10176
033,033_fibrosis_140,256,92022,9060
033,033_fibrosis_142,256,92922,10044
033,033_fibrosis_143,256,93051,10200
033,033_fibrosis_144,256,93105,10864
033,033_fibrosis_145,256,93048,11492
033,033_fibrosis_147,256,95091,11652
033,033_fibrosis_149,256,97302,10072
033,033_fibrosis_151,256,100221,9668
033,033_fibrosis_152,256,101400,10668
033,033_fibrosis_154,256,101490,10216
033,033_fibrosis_156,256,101553,7412
033,033_fibrosis_158,256,101559,7536
033,033_fibrosis_160,256,101352,7496
033,033_fibrosis_161,256,101121,7512
033,033_fibrosis_163,256,101544,5352
033,033_fibrosis_165,256,101709,4688
033,033_fibrosis_167,256,101952,4040
033,033_fibrosis_168,256,102186,4052
033,033_fibrosis_170,256,102456,4572
033,033_fibrosis_171,256,102396,4244
033,033_fibrosis_172,256,102243,3608
033,033_fibrosis_174,256,102078,4288
033,033_fibrosis_175,256,102069,4468
033,033_fibrosis_177,256,102486,5296
033,033_fibrosis_179,256,101889,4824
033,033_fibrosis_180,256,101853,5304
033,033_fibrosis_182,256,101232,6108
033,033_fibrosis_184,256,101025,5260
033,033_fibrosis_185,256,101052,5112
033,033_fibrosis_186,256,100443,4572
033,033_fibrosis_188,256,99939,5000
033,033_fibrosis_190,256,99918,5256
033,033_fibrosis_192,256,99333,5876
033,033_fibrosis_193,256,99231,6044
033,033_fibrosis_195,256,99042,5492
033,033_fibrosis_197,256,98589,5164
033,033_fibrosis_199,256,98226,5452
033,033_fibrosis_200,256,98007,5428
033,033_fibrosis_202,256,97857,6008
033,033_fibrosis_204,256,97311,5612
033,033_fibrosis_206,256,97107,4700
033,033_fibrosis_207,256,96864,5428
033,033_fibrosis_209,256,96543,5916
033,033_fibrosis_211,256,96030,6000
033,033_fibrosis_212,256,95448,6884
033,033_fibrosis_213,256,95175,6408
033,033_fibrosis_214,256,95124,6008
033,033_fibrosis_215,256,94806,5484
033,033_fibrosis_216,256,94542,5596
033,033_fibrosis_218,256,93612,4584
033,033_fibrosis_220,256,93147,4448
033,033_fibrosis_221,256,92901,3900
033,033_fibrosis_222,256,92358,3996
033,033_fibrosis_223,256,91956,3716
033,033_fibrosis_224,256,91455,3456
033,033_fibrosis_225,256,91761,3316
033,033_fibrosis_226,256,91926,3500
033,033_fibrosis_227,256,92175,3756
033,033_fibrosis_228,256,91995,4716
033,033_fibrosis_229,256,91614,4904
033,033_fibrosis_230,256,91740,5452
033,033_fibrosis_231,256,91809,6552
033,033_fibrosis_232,256,91971,6288
033,033_fibrosis_233,256,91836,5436
033,033_fibrosis_235,256,91047,5852
033,033_fibrosis_236,256,90558,5520
033,033_fibrosis_237,256,90234,5792
033,033_fibrosis_238,256,89952,6136
033,033_fibrosis_239,256,89826,6320
033,033_fibrosis_240,256,89286,6304
033,033_fibrosis_241,256,89271,5876
033,033_fibrosis_242,256,89097,6100
033,033_fibrosis_243,256,88962,5676
033,033_fibrosis_245,256,88083,5712
033,033_fibrosis_247,256,87429,6252
033,033_fibrosis_248,256,87345,6408
033,033_fibrosis_249,256,87078,6468
033,033_fibrosis_250,256,86415,6152
033,033_fibrosis_252,256,85935,6788
033,033_fibrosis_254,256,85458,7148
033,033_fibrosis_255,256,85293,6568
033,033_fibrosis_256,256,85032,6048
033,033_fibrosis_257,256,84432,5876
033,033_fibrosis_258,256,84072,5584
033,033_fibrosis_259,256,83673,6072
033,033_fibrosis_260,256,82989,6776
033,033_fibrosis_261,256,82404,6852
033,033_fibrosis_262,256,81924,6128
033,033_fibrosis_263,256,81510,5588
033,033_fibrosis_265,256,81102,4432
033,033_fibrosis_267,256,79839,3604
033,033_fibrosis_268,256,79311,3416
033,033_fibrosis_269,256,78963,3524
033,033_fibrosis_270,256,78261,3700
033,033_fibrosis_271,256,77190,3596
033,033_fibrosis_272,256,76497,3892
033,033_fibrosis_274,256,75258,4504
033,033_fibrosis_275,256,74637,4944
033,033_fibrosis_276,256,74094,5548
033,033_fibrosis_277,256,73383,5980
033,033_fibrosis_278,256,72849,6056
033,033_fibrosis_279,256,72159,6028
033,033_fibrosis_280,256,71739,6276
033,033_fibrosis_281,256,71289,6288
033,033_fibrosis_282,256,70530,6572
033,033_fibrosis_284,256,69507,7044
033,033_fibrosis_286,256,68268,7456
033,033_fibrosis_287,256,67488,7992
033,033_fibrosis_289,256,66324,7756
033,033_fibrosis_291,256,64794,7584
033,033_fibrosis_292,256,63900,6976
033,033_fibrosis_293,256,63078,6160
033,033_fibrosis_294,256,62196,5260
033,033_fibrosis_295,256,61161,4900
