Case,ID,size,pixel_num_lung,pixel_num_fibrosis
1_0000,1_0000_044,256,33,0
1_0000,1_0000_045,256,144,0
1_0000,1_0000_046,256,213,0
1_0000,1_0000_047,256,234,0
1_0000,1_0000_048,256,288,8
1_0000,1_0000_049,256,384,108
1_0000,1_0000_050,256,456,160
1_0000,1_0000_051,256,558,248
1_0000,1_0000_052,256,648,280
1_0000,1_0000_053,256,765,324
1_0000,1_0000_054,256,888,332
1_0000,1_0000_055,256,1083,344
1_0000,1_0000_056,256,1329,364
1_0000,1_0000_057,256,1599,548
1_0000,1_0000_058,256,1758,616
1_0000,1_0000_059,256,2133,720
1_0000,1_0000_060,256,2553,748
1_0000,1_0000_061,256,3024,1000
1_0000,1_0000_062,256,3450,1132
1_0000,1_0000_063,256,3969,1336
1_0000,1_0000_064,256,4437,1676
1_0000,1_0000_065,256,5115,1776
1_0000,1_0000_066,256,5580,2112
1_0000,1_0000_067,256,6126,2384
1_0000,1_0000_068,256,6588,2540
1_0000,1_0000_069,256,7170,2792
1_0000,1_0000_070,256,7737,3012
1_0000,1_0000_071,256,8250,3112
1_0000,1_0000_072,256,8964,3140
1_0000,1_0000_073,256,9711,3580
1_0000,1_0000_074,256,10491,3656
1_0000,1_0000_075,256,11346,3816
1_0000,1_0000_076,256,12225,3576
1_0000,1_0000_077,256,13107,3584
1_0000,1_0000_078,256,14070,4288
1_0000,1_0000_079,256,15105,4540
1_0000,1_0000_080,256,16170,5104
1_0000,1_0000_081,256,17163,4816
1_0000,1_0000_082,256,18120,4672
1_0000,1_0000_083,256,19689,5368
1_0000,1_0000_084,256,21051,5268
1_0000,1_0000_085,256,21936,6396
1_0000,1_0000_086,256,23001,6752
1_0000,1_0000_087,256,24309,7236
1_0000,1_0000_088,256,25383,7544
1_0000,1_0000_089,256,26556,7256
1_0000,1_0000_090,256,27672,6884
1_0000,1_0000_091,256,28779,6540
1_0000,1_0000_092,256,29880,6496
1_0000,1_0000_093,256,31143,7048
1_0000,1_0000_094,256,32520,7720
1_0000,1_0000_095,256,33678,7328
1_0000,1_0000_096,256,34854,7180
1_0000,1_0000_097,256,36096,6912
1_0000,1_0000_098,256,37443,6916
1_0000,1_0000_099,256,38823,8040
1_0000,1_0000_100,256,40149,7848
1_0000,1_0000_101,256,41622,7004
1_0000,1_0000_102,256,42909,6720
1_0000,1_0000_103,256,44211,6532
1_0000,1_0000_104,256,46197,6568
1_0000,1_0000_105,256,47448,7060
1_0000,1_0000_106,256,48819,5980
1_0000,1_0000_107,256,50670,5980
1_0000,1_0000_108,256,52227,6328
1_0000,1_0000_109,256,53715,6896
1_0000,1_0000_110,256,54999,7092
1_0000,1_0000_111,256,56016,7796
1_0000,1_0000_112,256,57105,7568
1_0000,1_0000_113,256,58026,7192
1_0000,1_0000_114,256,58650,6528
1_0000,1_0000_115,256,59139,6568
1_0000,1_0000_116,256,59391,6732
1_0000,1_0000_117,256,59385,6780
1_0000,1_0000_118,256,59382,6992
1_0000,1_0000_119,256,59775,7468
1_0000,1_0000_120,256,59973,7624
1_0000,1_0000_121,256,60252,8780
1_0000,1_0000_122,256,60555,8960
1_0000,1_0000_123,256,60972,9936
1_0000,1_0000_124,256,61395,10356
1_0000,1_0000_125,256,61659,10204
1_0000,1_0000_126,256,61935,9584
1_0000,1_0000_127,256,62292,9020
1_0000,1_0000_128,256,62688,8608
1_0000,1_0000_129,256,63264,6908
1_0000,1_0000_130,256,63810,6108
1_0000,1_0000_131,256,64200,5868
1_0000,1_0000_132,256,64668,5956
1_0000,1_0000_133,256,65301,6468
1_0000,1_0000_134,256,65871,6288
1_0000,1_0000_135,256,66318,5984
1_0000,1_0000_136,256,66759,5252
1_0000,1_0000_137,256,67215,4660
1_0000,1_0000_138,256,67638,5036
1_0000,1_0000_139,256,68115,5064
1_0000,1_0000_140,256,68433,5116
1_0000,1_0000_141,256,68727,5640
1_0000,1_0000_142,256,69225,5596
1_0000,1_0000_143,256,69762,5584
1_0000,1_0000_144,256,70638,4696
1_0000,1_0000_145,256,71415,4572
1_0000,1_0000_146,256,71940,4760
1_0000,1_0000_147,256,72822,4760
1_0000,1_0000_148,256,73647,5124
1_0000,1_0000_149,256,74706,5728
1_0000,1_0000_150,256,75603,6432
1_0000,1_0000_151,256,76284,6480
1_0000,1_0000_152,256,77007,6088
1_0000,1_0000_153,256,77736,5876
1_0000,1_0000_154,256,78483,5376
1_0000,1_0000_155,256,79002,6272
1_0000,1_0000_156,256,79710,7128
1_0000,1_0000_157,256,80412,6776
1_0000,1_0000_158,256,81399,6280
1_0000,1_0000_159,256,82509,6432
1_0000,1_0000_160,256,83361,5836
1_0000,1_0000_161,256,84276,6176
1_0000,1_0000_162,256,85770,7264
1_0000,1_0000_163,256,87525,7740
1_0000,1_0000_164,256,88782,6424
1_0000,1_0000_165,256,88722,6096
1_0000,1_0000_166,256,88617,6960
1_0000,1_0000_167,256,88638,7452
1_0000,1_0000_168,256,88629,7020
1_0000,1_0000_169,256,88602,7072
1_0000,1_0000_170,256,88470,7508
1_0000,1_0000_171,256,88488,8304
1_0000,1_0000_172,256,88446,7748
1_0000,1_0000_173,256,88188,7440
1_0000,1_0000_174,256,88302,6900
1_0000,1_0000_175,256,88320,6060
1_0000,1_0000_176,256,88269,5496
1_0000,1_0000_177,256,88446,5440
1_0000,1_0000_178,256,88332,6132
1_0000,1_0000_179,256,88113,5288
1_0000,1_0000_180,256,87999,4656
1_0000,1_0000_181,256,87762,5100
1_0000,1_0000_182,256,87987,6060
1_0000,1_0000_183,256,88440,6008
1_0000,1_0000_184,256,88587,5956
1_0000,1_0000_185,256,88278,5604
1_0000,1_0000_186,256,88404,5152
1_0000,1_0000_187,256,88356,5384
1_0000,1_0000_188,256,88269,6024
1_0000,1_0000_189,256,88377,5188
1_0000,1_0000_190,256,88635,4912
1_0000,1_0000_191,256,88179,5804
1_0000,1_0000_192,256,88026,5796
1_0000,1_0000_193,256,87588,5320
1_0000,1_0000_194,256,87378,4624
1_0000,1_0000_195,256,87285,3280
1_0000,1_0000_196,256,87303,2568
1_0000,1_0000_197,256,87435,2776
1_0000,1_0000_198,256,87564,3468
1_0000,1_0000_199,256,87984,3948
1_0000,1_0000_200,256,88044,4188
1_0000,1_0000_201,256,88233,3832
1_0000,1_0000_202,256,88620,3036
1_0000,1_0000_203,256,88542,3272
1_0000,1_0000_204,256,88779,4556
1_0000,1_0000_205,256,88401,4756
1_0000,1_0000_206,256,88209,4532
1_0000,1_0000_207,256,88293,4436
1_0000,1_0000_208,256,88224,5156
1_0000,1_0000_209,256,88398,5992
1_0000,1_0000_210,256,88515,5276
1_0000,1_0000_211,256,88992,4668
1_0000,1_0000_212,256,89145,4348
1_0000,1_0000_213,256,89430,4180
1_0000,1_0000_214,256,90138,3472
1_0000,1_0000_215,256,91026,3064
1_0000,1_0000_216,256,91437,2736
1_0000,1_0000_217,256,91764,2860
1_0000,1_0000_218,256,91710,2816
1_0000,1_0000_219,256,92025,3196
1_0000,1_0000_220,256,92202,3420
1_0000,1_0000_221,256,91854,3252
1_0000,1_0000_222,256,91632,3144
1_0000,1_0000_223,256,91188,3856
1_0000,1_0000_224,256,91155,4516
1_0000,1_0000_225,256,91344,5000
1_0000,1_0000_226,256,91860,4556
1_0000,1_0000_227,256,92400,3852
